Reading data...Done
self.train_x.shape (10, 2623, 2772)
self.train_y.shape (10, 2623)
self.train_x_set[0].shape (10, 114, 2772)
self.train_y_set[0].shape (10, 114)
self.test_x.shape (10, 374, 2772)
self.test_y.shape (10, 374)
logit shape:  (?, ?, 7)
Entering training loop
Epochs 139, train loss: 0.00, train accuracy: 100.00%, valid loss: 2.26, valid accuracy: 69.31%, test loss: 2.09, test accuracy: 67.86%
Epochs 140, train loss: 0.00, train accuracy: 100.00%, valid loss: 2.27, valid accuracy: 69.36%, test loss: 2.10, test accuracy: 67.78%
Epochs 141, train loss: 0.00, train accuracy: 100.00%, valid loss: 2.27, valid accuracy: 69.29%, test loss: 2.10, test accuracy: 67.97%
Epochs 142, train loss: 0.00, train accuracy: 100.00%, valid loss: 2.28, valid accuracy: 69.32%, test loss: 2.10, test accuracy: 67.97%
Epochs 143, train loss: 0.00, train accuracy: 100.00%, valid loss: 2.29, valid accuracy: 69.31%, test loss: 2.11, test accuracy: 67.97%
Epochs 144, train loss: 0.00, train accuracy: 100.00%, valid loss: 2.30, valid accuracy: 69.33%, test loss: 2.12, test accuracy: 67.94%
Epochs 145, train loss: 0.00, train accuracy: 100.00%, valid loss: 2.30, valid accuracy: 69.28%, test loss: 2.12, test accuracy: 67.94%
Epochs 146, train loss: 0.00, train accuracy: 100.00%, valid loss: 2.31, valid accuracy: 69.27%, test loss: 2.13, test accuracy: 67.91%
Epochs 147, train loss: 0.00, train accuracy: 100.00%, valid loss: 2.32, valid accuracy: 69.23%, test loss: 2.14, test accuracy: 67.83%
Epochs 148, train loss: 0.00, train accuracy: 100.00%, valid loss: 2.33, valid accuracy: 69.21%, test loss: 2.15, test accuracy: 67.86%
Epochs 149, train loss: 0.00, train accuracy: 100.00%, valid loss: 2.33, valid accuracy: 69.27%, test loss: 2.15, test accuracy: 67.86%
Epochs 150, train loss: 0.00, train accuracy: 100.00%, valid loss: 2.34, valid accuracy: 69.31%, test loss: 2.16, test accuracy: 67.73%
Epochs 151, train loss: 0.00, train accuracy: 100.00%, valid loss: 2.35, valid accuracy: 69.19%, test loss: 2.17, test accuracy: 67.86%
Epochs 152, train loss: 0.00, train accuracy: 100.00%, valid loss: 2.35, valid accuracy: 69.23%, test loss: 2.18, test accuracy: 67.83%
Epochs 153, train loss: 0.00, train accuracy: 100.00%, valid loss: 2.37, valid accuracy: 69.15%, test loss: 2.19, test accuracy: 67.75%
Epochs 154, train loss: 0.00, train accuracy: 100.00%, valid loss: 2.36, valid accuracy: 69.29%, test loss: 2.19, test accuracy: 67.78%
Epochs 155, train loss: 0.00, train accuracy: 100.00%, valid loss: 2.37, valid accuracy: 69.19%, test loss: 2.20, test accuracy: 67.81%
Epochs 156, train loss: 0.00, train accuracy: 100.00%, valid loss: 2.39, valid accuracy: 69.20%, test loss: 2.21, test accuracy: 67.73%
Epochs 157, train loss: 0.00, train accuracy: 100.00%, valid loss: 2.39, valid accuracy: 69.24%, test loss: 2.22, test accuracy: 67.70%
Epochs 158, train loss: 0.00, train accuracy: 100.00%, valid loss: 2.40, valid accuracy: 69.16%, test loss: 2.22, test accuracy: 67.75%
Epochs 159, train loss: 0.00, train accuracy: 100.00%, valid loss: 2.41, valid accuracy: 69.16%, test loss: 2.23, test accuracy: 67.78%
Epochs 160, train loss: 0.00, train accuracy: 100.00%, valid loss: 2.41, valid accuracy: 69.20%, test loss: 2.24, test accuracy: 67.78%
Epochs 161, train loss: 0.00, train accuracy: 100.00%, valid loss: 2.42, valid accuracy: 69.16%, test loss: 2.25, test accuracy: 67.75%
Epochs 162, train loss: 0.00, train accuracy: 100.00%, valid loss: 2.43, valid accuracy: 69.16%, test loss: 2.25, test accuracy: 67.75%
Epochs 163, train loss: 0.00, train accuracy: 100.00%, valid loss: 2.43, valid accuracy: 69.05%, test loss: 2.26, test accuracy: 67.70%
Epochs 164, train loss: 0.00, train accuracy: 100.00%, valid loss: 2.44, valid accuracy: 69.15%, test loss: 2.27, test accuracy: 67.70%
Epochs 165, train loss: 0.00, train accuracy: 100.00%, valid loss: 2.45, valid accuracy: 69.13%, test loss: 2.28, test accuracy: 67.62%
Epochs 166, train loss: 0.00, train accuracy: 100.00%, valid loss: 2.46, valid accuracy: 69.11%, test loss: 2.28, test accuracy: 67.75%
Epochs 167, train loss: 0.00, train accuracy: 100.00%, valid loss: 2.46, valid accuracy: 69.12%, test loss: 2.29, test accuracy: 67.70%
Epochs 168, train loss: 0.00, train accuracy: 100.00%, valid loss: 2.47, valid accuracy: 69.08%, test loss: 2.29, test accuracy: 67.70%
Epochs 169, train loss: 0.00, train accuracy: 100.00%, valid loss: 2.48, valid accuracy: 69.03%, test loss: 2.30, test accuracy: 67.65%
Epochs 170, train loss: 0.00, train accuracy: 100.00%, valid loss: 2.48, valid accuracy: 69.05%, test loss: 2.31, test accuracy: 67.62%
Epochs 171, train loss: 0.00, train accuracy: 100.00%, valid loss: 2.49, valid accuracy: 69.05%, test loss: 2.32, test accuracy: 67.51%
Epochs 172, train loss: 0.00, train accuracy: 100.00%, valid loss: 2.50, valid accuracy: 69.01%, test loss: 2.32, test accuracy: 67.57%
Epochs 173, train loss: 0.00, train accuracy: 100.00%, valid loss: 2.50, valid accuracy: 69.01%, test loss: 2.33, test accuracy: 67.62%
Epochs 174, train loss: 0.00, train accuracy: 100.00%, valid loss: 2.51, valid accuracy: 69.00%, test loss: 2.34, test accuracy: 67.49%
Epochs 175, train loss: 0.00, train accuracy: 100.00%, valid loss: 2.52, valid accuracy: 69.01%, test loss: 2.35, test accuracy: 67.51%
Epochs 176, train loss: 0.00, train accuracy: 100.00%, valid loss: 2.53, valid accuracy: 68.87%, test loss: 2.35, test accuracy: 67.49%
Epochs 177, train loss: 0.00, train accuracy: 100.00%, valid loss: 2.53, valid accuracy: 68.93%, test loss: 2.36, test accuracy: 67.46%
Epochs 178, train loss: 0.00, train accuracy: 100.00%, valid loss: 2.54, valid accuracy: 68.88%, test loss: 2.36, test accuracy: 67.43%
