Reading data...Done
self.train_x.shape (10, 2623, 2772)
self.train_y.shape (10, 2623)
self.train_x_set[0].shape (10, 114, 2772)
self.train_y_set[0].shape (10, 114)
self.test_x.shape (10, 374, 2772)
self.test_y.shape (10, 374)
logit shape:  (?, ?, 7)
Entering training loop
Epochs 079, train loss: 0.04, train accuracy: 100.00%, valid loss: 2.33, valid accuracy: 70.44%, test loss: 2.07, test accuracy: 70.61%
Epochs 080, train loss: 0.04, train accuracy: 100.00%, valid loss: 2.33, valid accuracy: 70.89%, test loss: 2.07, test accuracy: 70.64%
Epochs 081, train loss: 0.04, train accuracy: 100.00%, valid loss: 2.35, valid accuracy: 71.23%, test loss: 2.10, test accuracy: 70.03%
Epochs 082, train loss: 0.04, train accuracy: 100.00%, valid loss: 2.33, valid accuracy: 71.59%, test loss: 2.10, test accuracy: 70.40%
Epochs 083, train loss: 0.04, train accuracy: 100.00%, valid loss: 2.39, valid accuracy: 71.12%, test loss: 2.14, test accuracy: 70.70%
Epochs 084, train loss: 0.04, train accuracy: 100.00%, valid loss: 2.39, valid accuracy: 71.30%, test loss: 2.19, test accuracy: 69.55%
Epochs 085, train loss: 0.04, train accuracy: 100.00%, valid loss: 2.40, valid accuracy: 71.84%, test loss: 2.22, test accuracy: 69.01%
Epochs 086, train loss: 0.04, train accuracy: 100.00%, valid loss: 2.43, valid accuracy: 71.50%, test loss: 2.18, test accuracy: 71.15%
Epochs 087, train loss: 0.04, train accuracy: 100.00%, valid loss: 2.51, valid accuracy: 70.69%, test loss: 2.20, test accuracy: 71.31%
Epochs 088, train loss: 0.03, train accuracy: 100.00%, valid loss: 2.52, valid accuracy: 70.72%, test loss: 2.28, test accuracy: 69.89%
Epochs 089, train loss: 0.03, train accuracy: 100.00%, valid loss: 2.48, valid accuracy: 71.79%, test loss: 2.22, test accuracy: 70.70%
Epochs 090, train loss: 0.03, train accuracy: 100.00%, valid loss: 2.56, valid accuracy: 70.84%, test loss: 2.30, test accuracy: 70.00%
Epochs 091, train loss: 0.03, train accuracy: 100.00%, valid loss: 2.50, valid accuracy: 71.98%, test loss: 2.28, test accuracy: 70.00%
Epochs 092, train loss: 0.03, train accuracy: 100.00%, valid loss: 2.54, valid accuracy: 71.62%, test loss: 2.29, test accuracy: 71.12%
Epochs 093, train loss: 0.03, train accuracy: 100.00%, valid loss: 2.63, valid accuracy: 71.01%, test loss: 2.34, test accuracy: 71.34%
Epochs 094, train loss: 0.03, train accuracy: 100.00%, valid loss: 2.59, valid accuracy: 71.75%, test loss: 2.33, test accuracy: 71.20%
Epochs 095, train loss: 0.03, train accuracy: 100.00%, valid loss: 2.65, valid accuracy: 70.77%, test loss: 2.42, test accuracy: 69.52%
Epochs 096, train loss: 0.03, train accuracy: 100.00%, valid loss: 2.68, valid accuracy: 71.26%, test loss: 2.41, test accuracy: 70.40%
Epochs 097, train loss: 0.03, train accuracy: 100.00%, valid loss: 2.69, valid accuracy: 71.12%, test loss: 2.40, test accuracy: 71.87%
Epochs 098, train loss: 0.03, train accuracy: 100.00%, valid loss: 2.84, valid accuracy: 69.41%, test loss: 2.66, test accuracy: 67.62%
Epochs 099, train loss: 0.03, train accuracy: 100.00%, valid loss: 2.77, valid accuracy: 70.45%, test loss: 2.49, test accuracy: 70.32%
Epochs 100, train loss: 0.03, train accuracy: 100.00%, valid loss: 2.68, valid accuracy: 71.75%, test loss: 2.43, test accuracy: 70.83%
Epochs 101, train loss: 0.02, train accuracy: 100.00%, valid loss: 2.78, valid accuracy: 71.42%, test loss: 2.49, test accuracy: 71.07%
Epochs 102, train loss: 0.02, train accuracy: 100.00%, valid loss: 2.82, valid accuracy: 71.36%, test loss: 2.51, test accuracy: 70.96%
Epochs 103, train loss: 0.02, train accuracy: 100.00%, valid loss: 2.83, valid accuracy: 71.55%, test loss: 2.54, test accuracy: 70.96%
Epochs 104, train loss: 0.02, train accuracy: 100.00%, valid loss: 2.91, valid accuracy: 70.80%, test loss: 2.64, test accuracy: 69.89%
Epochs 105, train loss: 0.02, train accuracy: 100.00%, valid loss: 2.81, valid accuracy: 71.86%, test loss: 2.56, test accuracy: 70.83%
Epochs 106, train loss: 0.02, train accuracy: 100.00%, valid loss: 2.96, valid accuracy: 70.88%, test loss: 2.61, test accuracy: 71.42%
